,Schüler/in,Student/in oder Azubi,"Akademiker/in, angestellt","Akademiker/in, freiberufl.",Akademiker/in andere,Angestellte sonst.,Arbeitssuchend,Rente/Pension,Behörde/Amt,Unternehmen,Verein
Facharbeit,6.91,6.91,,,,8.98,8.36,7.74,7.74,7.74,7.74
Fachartikel,8.98,9.81,10.09,10.3,10.3,10.23,9.26,9.81,9.81,9.81,9.81
Bachelorarbeit,,7.74,8.43,8.71,8.71,8.71,,7.74,7.74,7.74,7.74
Masterarbeit,,8.22,9.4,9.74,9.4,9.4,,9.54,9.54,9.54,9.54
Dissertation,,8.57,10.78,10.92,10.85,,9.26,9.26,9.26,9.26,9.26
Belletristik,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74,7.74
Sachbuch allg.,7.95,7.95,8.43,8.71,8.71,10.23,8.43,8.84,8.84,8.84,8.84
Fachlit. wissenschaftl. ,,9.19,10.43,10.3,10.16,9.95,9.81,9.95,9.95,9.95,9.95
